,Times,RSSI,POS
0,1764759048.0233943,"(23.137678146362305, 25.97417449951172, 301.4844970703125, 49.59862518310547)",2.3
1,1764759048.0233943,"(24.912385940551758, 29.155330657958984, 283.463134765625, 63.446983337402344)",1.9
2,1764759048.0233943,"(25.23973846435547, 30.300167083740234, 273.934326171875, 64.72534942626953)",1.8
3,1764759048.0233943,"(58.346435546875, 0.40679627656936646, 6.423401355743408, 2.564176082611084)",116.0
4,1764759048.0233943,"(51.024051666259766, 0.688490629196167, 10.858482360839844, 8.02576732635498)",117.8
5,1764759048.0233943,"(48.66064453125, 0.8163204193115234, 11.88482666015625, 9.813882827758789)",118.2
6,1764759048.0233943,"(30.835010528564453, 15.525362014770508, 29.734663009643555, 1.4209754467010498)",236.8
7,1764759048.0233943,"(29.307411193847656, 15.606832504272461, 22.395706176757812, 1.8573641777038574)",237.6
8,1764759048.0233943,"(29.016510009765625, 15.950515747070312, 21.767353057861328, 1.9288418292999268)",237.7
9,1764759048.0233943,"(26.997127532958984, 52.19234085083008, 140.05807495117188, 138.78317260742188)",356.6
10,1764759048.0233943,"(26.034385681152344, 49.37805938720703, 170.31053161621094, 119.85704040527344)",357.3
11,1764759048.0233943,"(25.614290237426758, 51.62852478027344, 171.87347412109375, 116.83802795410156)",357.3
