,Angles,Times,RSSI,POS
0,-0.6138744265635228,1764853329.8844507,"(2128.51171875, 2815.588623046875, 1506.212646484375, 405.26190185546875)",309.4
1,-0.03611026038608944,1764853330.0288773,"(283.3016357421875, 3044.97412109375, 2630.8603515625, 139.01992797851562)",298.3
2,-0.6860949473357019,1764853330.3556478,"(3090.2080078125, 2912.18212890625, 2018.135498046875, 734.6272583007812)",205.9
3,-0.6860949473357019,1764853330.5180633,"(1445.600341796875, 1101.7388916015625, 825.231201171875, 563.1289672851562)",152.1
4,0.036110260386089665,1764853330.6526487,"(1427.058349609375, 8349.0078125, 9177.380859375, 7425.9931640625)",106.6
5,0.5416539057913436,1764853331.7036111,"(1687.9473876953125, 44.15614700317383, 2838.666259765625, 1497.32080078125)",-39.6
6,0.5416539057913436,1764853331.8518121,"(1217.709716796875, 21.503704071044922, 3120.5771484375, 1739.347412109375)",-37.0
7,0.46943338501916454,1764853332.0072672,"(300.258056640625, 84.09613037109375, 3743.840087890625, 1725.12646484375)",-29.7
8,0.5416539057913436,1764853332.1640794,"(166.41531372070312, 675.1356201171875, 1937.67333984375, 1352.8319091796875)",-19.2
9,-0.758315468107881,1764853332.3111575,"(1661.380126953125, 815.1751708984375, 416.10400390625, 987.5802001953125)",-9.1
10,-0.758315468107881,1764853332.4677308,"(1265.932861328125, 814.9876708984375, 144.45838928222656, 735.721923828125)",-6.6
11,0.6860949473357019,1764853332.621036,"(1249.0064697265625, 616.9999389648438, 993.0549926757812, 1139.482177734375)",-15.3
12,0.7583154681078812,1764853332.7804778,"(503.71783447265625, 799.359130859375, 535.0722045898438, 1257.9210205078125)",-19.6
13,-0.10833078115826866,1764853332.9332829,"(470.0535888671875, 954.9745483398438, 445.8555603027344, 708.5945434570312)",-13.2
14,0.18055130193044788,1764853333.0886047,"(103.53428649902344, 388.2322998046875, 1529.1376953125, 669.378662109375)",-5.0
15,0.252771822702627,1764853333.246351,"(45.48925018310547, 49.307525634765625, 2562.050048828125, 588.5398559570312)",-1.2
16,0.252771822702627,1764853333.4025183,"(166.86581420898438, 112.4012451171875, 2466.595703125, 383.5003967285156)",2.4
17,0.18055130193044788,1764853333.5572655,"(302.3282470703125, 647.3198852539062, 2544.0439453125, 136.22427368164062)",7.0
18,0.18055130193044788,1764853333.707581,"(391.526611328125, 1096.74755859375, 2964.77734375, 152.11337280273438)",11.4
19,0.036110260386089665,1764853333.8647537,"(702.283447265625, 1961.6971435546875, 2834.102783203125, 418.90911865234375)",15.4
20,0.036110260386089665,1764853334.0179954,"(1118.99658203125, 2796.031982421875, 2901.96630859375, 1224.94482421875)",18.2
21,0.10833078115826877,1764853334.1799107,"(1250.1966552734375, 1977.64794921875, 3567.4990234375, 211.39266967773438)",19.4
22,0.036110260386089665,1764853334.3281662,"(1192.03369140625, 2008.498291015625, 2922.04052734375, 127.11216735839844)",20.1
23,-0.6138744265635228,1764853334.4804173,"(1658.827392578125, 2102.22314453125, 903.6734619140625, 112.19139099121094)",21.5
24,0.9027565096522394,1764853334.6406736,"(421.37164306640625, 1229.544921875, 31.586284637451172, 1424.1702880859375)",19.2
25,-0.9749770304244185,1764853334.7958887,"(1782.9869384765625, 263.914794921875, 445.53448486328125, 439.9447021484375)",22.6
26,-1.0471975511965976,1764853334.9486506,"(2532.92919921875, 29.513090133666992, 655.70068359375, 120.38674926757812)",19.9
27,-0.9749770304244185,1764853335.100584,"(2003.252197265625, 28.462703704833984, 699.28076171875, 457.8970947265625)",5.2
28,-0.9027565096522393,1764853335.2654946,"(1784.994384765625, 53.966835021972656, 577.8134765625, 1405.448486328125)",-15.4
29,-0.9027565096522393,1764853335.413154,"(2221.184814453125, 25.529314041137695, 1000.6205444335938, 1035.2518310546875)",-33.6
30,-1.0471975511965976,1764853335.5666544,"(3274.861328125, 31.114517211914062, 707.9454345703125, 243.7161407470703)",-52.8
31,-1.0471975511965976,1764853335.7286243,"(1920.85888671875, 187.4355926513672, 399.3906555175781, 45.31000900268555)",-74.1
32,-0.6860949473357019,1764853335.8812165,"(343.28759765625, 352.6785888671875, 78.08026123046875, 472.4559020996094)",-91.4
33,-0.8305359888800602,1764853336.0400271,"(610.2210693359375, 180.90090942382812, 205.90151977539062, 336.0527038574219)",-109.4
34,-0.9749770304244185,1764853336.1876109,"(2002.49951171875, 216.42483520507812, 606.055908203125, 537.7404174804688)",-125.3
35,-0.5416539057913435,1764853336.3469138,"(2520.12451171875, 4519.0791015625, 1286.63623046875, 21.37387466430664)",-147.6
36,-0.46943338501916443,1764853336.5042868,"(2117.4033203125, 4940.3251953125, 761.7203979492188, 274.8587341308594)",-161.8
37,-0.03611026038608944,1764853336.657115,"(614.917724609375, 4347.83837890625, 3961.772216796875, 210.5462188720703)",-173.4
38,0.252771822702627,1764853336.8092334,"(168.98370361328125, 787.266845703125, 5517.55078125, 8.421318054199219)",-180.4
39,0.252771822702627,1764853336.9671185,"(640.982666015625, 542.6140747070312, 5089.01904296875, 68.418701171875)",-181.8
40,0.252771822702627,1764853337.1178167,"(938.8816528320312, 759.1307983398438, 7406.00390625, 274.3558044433594)",-180.2
41,0.036110260386089665,1764853337.276673,"(209.44940185546875, 2431.20654296875, 2893.124755859375, 689.0838623046875)",-175.7
42,0.036110260386089665,1764853337.4341583,"(339.34881591796875, 1038.56640625, 1302.773193359375, 167.4012908935547)",-171.5
43,-0.252771822702627,1764853337.5835614,"(131.40975952148438, 640.7337646484375, 76.10826110839844, 31.963085174560547)",-169.7
44,-0.46943338501916443,1764853337.74436,"(182.66766357421875, 731.6549682617188, 53.84620666503906, 239.62026977539062)",-169.8
45,-0.18055130193044788,1764853337.8941016,"(181.48907470703125, 889.2313842773438, 190.7764434814453, 401.1502380371094)",-174.1
46,-0.46943338501916443,1764853338.0557635,"(189.08895874023438, 578.9453125, 57.44862365722656, 191.61636352539062)",-180.4
47,0.036110260386089665,1764853338.2049727,"(317.2133483886719, 457.4000244140625, 610.3178100585938, 62.02934265136719)",-187.7
48,0.10833078115826877,1764853338.3605218,"(444.53668212890625, 601.3111572265625, 1278.48291015625, 13.027691841125488)",-192.4
49,0.18055130193044788,1764853338.5152414,"(447.0098876953125, 512.5140380859375, 1565.1785888671875, 1.5848854780197144)",-193.2
50,0.18055130193044788,1764853338.6730883,"(424.8268127441406, 440.5960693359375, 1963.875732421875, 32.88417053222656)",-192.6
51,0.252771822702627,1764853338.8276594,"(315.50811767578125, 242.67832946777344, 1882.998046875, 117.33026885986328)",-190.4
52,0.252771822702627,1764853338.9852808,"(257.26751708984375, 146.13165283203125, 1751.88330078125, 311.5229187011719)",-186.1
53,0.46943338501916454,1764853339.137318,"(187.51397705078125, 98.20072937011719, 828.4952392578125, 345.4285888671875)",-180.6
54,0.5416539057913436,1764853339.2957616,"(104.97554779052734, 66.17570495605469, 318.9510192871094, 172.23883056640625)",-173.0
55,0.10833078115826877,1764853339.449377,"(182.88494873046875, 95.8825454711914, 210.84564208984375, 21.334362030029297)",-163.1
56,-0.8305359888800602,1764853339.604781,"(1031.6104736328125, 396.6868591308594, 650.267822265625, 255.07199096679688)",-156.5
57,0.7583154681078812,1764853339.753097,"(1030.551513671875, 565.2998046875, 536.9749145507812, 1096.0902099609375)",-159.7
58,-0.758315468107881,1764853339.915244,"(998.484130859375, 672.3220825195312, 435.8974304199219, 815.4881591796875)",-158.6
59,-0.758315468107881,1764853340.0646985,"(874.3804321289062, 397.73114013671875, 357.4910888671875, 562.1531982421875)",-161.5
60,-0.758315468107881,1764853340.2160726,"(724.5693359375, 495.3551940917969, 464.425048828125, 154.17808532714844)",-172.6
61,-0.6860949473357019,1764853340.3722398,"(631.748291015625, 490.8071594238281, 408.2205810546875, 130.62081909179688)",-187.9
62,0.036110260386089665,1764853340.5346735,"(510.97674560546875, 358.83551025390625, 521.0732421875, 200.25682067871094)",-202.4
63,-0.8305359888800602,1764853340.685028,"(495.6496887207031, 178.2546844482422, 399.21148681640625, 37.0294189453125)",-210.0
64,-0.9749770304244185,1764853340.8420753,"(866.37744140625, 95.61593627929688, 104.66717529296875, 314.3558349609375)",-219.9
65,-0.9027565096522393,1764853340.9999707,"(725.0152587890625, 145.26260375976562, 72.3143539428711, 491.43621826171875)",-236.4
66,-0.8305359888800602,1764853341.153945,"(546.2266845703125, 211.64292907714844, 160.5722198486328, 508.7723083496094)",-254.1
67,-0.758315468107881,1764853341.3038538,"(516.7725830078125, 259.88592529296875, 368.1284484863281, 135.3101806640625)",-271.7
68,-0.758315468107881,1764853341.4570882,"(541.86279296875, 268.0979309082031, 374.419677734375, 178.56903076171875)",-287.9
69,-0.8305359888800602,1764853341.6161602,"(604.47412109375, 270.9392395019531, 222.9454345703125, 290.940185546875)",-304.6
