,rssi,corr,theta,timestamp
0,"(52.229888916015625, 225.39822387695312, 510.0375061035156, 1129.9705810546875)","(-0.9152050614356995, -0.9150863289833069, 0.909826934337616, 0.9100835919380188)",-88.1,1765210766.1880991
1,"(50.570220947265625, 218.3056182861328, 470.041748046875, 1014.6732788085938)","(-0.9173169732093811, -0.9176009893417358, 0.9111968278884888, 0.9114044904708862)",-88.2,1765210766.398222
2,"(47.97494125366211, 229.30337524414062, 477.72784423828125, 1068.5970458984375)","(-0.9184126257896423, -0.918412446975708, 0.9129137396812439, 0.9136062264442444)",-88.2,1765210766.6164408
3,"(52.162109375, 227.2438201904297, 483.30859375, 1036.7568359375)","(-0.9205138087272644, -0.9210050702095032, 0.91439288854599, 0.9148281812667847)",-88.2,1765210766.831985
4,"(35.776512145996094, 210.51373291015625, 557.1494750976562, 749.9959106445312)","(-0.9222081303596497, -0.9219948053359985, 0.9162920713424683, 0.9162531495094299)",-88.2,1765210767.0497334
5,"(29.369548797607422, 209.130859375, 496.8653259277344, 686.8740234375)","(-0.9228956699371338, -0.9238985180854797, 0.917975664138794, 0.9889524579048157)",-88.2,1765210767.2664533
6,"(27.36465835571289, 205.3555908203125, 435.12445068359375, 694.2008056640625)","(-0.9249234199523926, -0.9252960085868835, 0.9195275902748108, 0.9197620749473572)",-88.2,1765210767.483766
7,"(42.5824089050293, 206.66864013671875, 541.7806396484375, 664.6947631835938)","(-0.9921950101852417, -0.9271801114082336, 0.9210764169692993, 0.9212209582328796)",-88.2,1765210767.6984975
8,"(33.916141510009766, 241.63671875, 510.84320068359375, 720.442138671875)","(-0.9284271001815796, -0.9281483292579651, 0.9228568077087402, 0.923020601272583)",-88.2,1765210767.916767
9,"(49.292518615722656, 236.46014404296875, 464.9918212890625, 704.3345947265625)","(-0.9299881458282471, -0.9294265508651733, 0.9246003031730652, 0.9244845509529114)",-88.2,1765210768.135115
10,"(38.90418243408203, 259.66534423828125, 520.08837890625, 571.1932373046875)","(-0.931577205657959, -0.9312655329704285, 0.9260011911392212, 0.9257835149765015)",-88.2,1765210768.350458
11,"(36.406524658203125, 210.53854370117188, 552.8350830078125, 589.8427734375)","(-0.9325547814369202, -0.9333579540252686, 0.9269686937332153, 0.927463173866272)",-88.2,1765210768.56837
12,"(33.9035530090332, 208.11050415039062, 477.3609619140625, 726.8953857421875)","(-0.9344334006309509, -0.9346112608909607, 0.9286003112792969, 0.9289133548736572)",-88.2,1765210768.783874
13,"(33.528446197509766, 239.45346069335938, 551.646240234375, 780.8016357421875)","(-0.9365176558494568, -0.9356459975242615, 0.930694580078125, 0.9310541152954102)",-88.2,1765210769.0020757
14,"(42.028106689453125, 234.91766357421875, 644.49609375, 725.761474609375)","(-0.9374610185623169, -0.9360091686248779, 0.9325381517410278, 0.932327151298523)",-88.2,1765210769.2199047
15,"(34.24608612060547, 239.54981994628906, 621.17138671875, 638.8782348632812)","(-0.9385253190994263, -0.9385685324668884, 0.9335257411003113, 0.9335452914237976)",-88.2,1765210769.43543
16,"(36.017574310302734, 240.2803955078125, 587.2603759765625, 643.6834716796875)","(-0.9405730366706848, -0.9401687383651733, 0.9346480965614319, 0.9347564578056335)",-88.2,1765210769.6544092
17,"(35.22739791870117, 236.9747314453125, 618.4464111328125, 634.9349365234375)","(-0.9411730170249939, -0.9412526488304138, 0.9361945390701294, 0.9365410804748535)",-88.2,1765210769.8690596
18,"(35.61252975463867, 249.93405151367188, 623.8367309570312, 677.1781005859375)","(-0.9431855082511902, -0.9435878396034241, 0.9374704957008362, 0.937279462814331)",-88.2,1765210770.0873446
19,"(34.60163879394531, 273.56402587890625, 601.6724243164062, 691.6217651367188)","(-0.945824384689331, -0.9447020292282104, 0.9393147826194763, 0.9386855363845825)",-88.2,1765210770.305095
20,"(40.727638244628906, 271.2776184082031, 599.4531860351562, 685.2447509765625)","(-0.9475469589233398, -0.9452603459358215, 0.9409700632095337, 0.9409013390541077)",-88.2,1765210770.5206091
21,"(37.44490432739258, 267.8046569824219, 595.633056640625, 679.7821044921875)","(-0.9476608037948608, -0.9457820653915405, 0.9425899386405945, 0.9426895380020142)",-88.2,1765210770.7384875
22,"(37.50841522216797, 238.82522583007812, 548.0432739257812, 710.6390991210938)","(-0.9483433961868286, -0.9476395845413208, 0.9429628252983093, 0.9434667825698853)",-88.2,1765210770.9551096
23,"(37.813079833984375, 225.8810272216797, 496.40179443359375, 650.5630493164062)","(-0.9494024515151978, -0.9490857720375061, 0.9442145824432373, 0.9441916942596436)",-88.2,1765210771.172244
24,"(40.43151092529297, 207.13294982910156, 517.1898193359375, 646.2942504882812)","(-0.9505840539932251, -0.9006015658378601, 0.9451634287834167, 0.9451363682746887)",-88.2,1765210771.38996
25,"(43.37510681152344, 229.13690185546875, 505.1168518066406, 672.8713989257812)","(-0.9017258286476135, -0.9028883576393127, 0.9465449452400208, 0.9464138150215149)",-88.2,1765210771.605466
26,"(46.8984260559082, 224.42147827148438, 517.7608642578125, 726.6448364257812)","(-0.9042407870292664, -0.9048176407814026, 0.9479823112487793, 0.9474331736564636)",-88.2,1765210771.8237555
27,"(48.07337188720703, 230.02464294433594, 509.9285888671875, 731.1555786132812)","(-0.9065636396408081, -0.9056937098503113, 0.9001004099845886, 0.9001156687736511)",-88.2,1765210772.0391283
28,"(40.34823226928711, 219.07748413085938, 539.122314453125, 741.7254638671875)","(-0.9081931710243225, -0.9070681929588318, 0.9019826650619507, 0.9016871452331543)",-88.2,1765210772.2569563
29,"(36.89594268798828, 222.90487670898438, 512.4410400390625, 763.378173828125)","(-0.9100882411003113, -0.90923011302948, 0.9035668969154358, 0.9031486511230469)",-88.2,1765210772.4752524
30,"(37.89739227294922, 211.9164581298828, 577.986572265625, 828.626953125)","(-0.9095197916030884, -0.9102112650871277, 0.9056981205940247, 0.9059426784515381)",-88.2,1765210772.6908286
31,"(55.92683410644531, 219.99960327148438, 553.0916748046875, 750.4750366210938)","(-0.9124367237091064, -0.9133261442184448, 0.9064667820930481, 0.9066251516342163)",-88.2,1765210772.9085133
32,"(45.35501480102539, 259.75616455078125, 563.5880126953125, 690.26123046875)","(-0.9143242835998535, -0.9148918986320496, 0.9086870551109314, 0.9085075855255127)",-88.2,1765210773.1240735
