n,theta,p0,p1,p2,p3
0,-1.0471975511965976,0.9799428971064764,0.13716225131835966,0.08825359288276641,0.11449776664689996
1,-1.026042045111818,0.9734899270170326,0.15932180288274922,0.100972448551181,0.12937731546195458
2,-1.004886539027038,0.9658844553800858,0.18259107590938703,0.11388781373127384,0.1440738829103946
3,-0.9837310329422584,0.9570467130051556,0.20695716638997408,0.1269318286261864,0.15848858409195388
4,-0.9625755268574786,0.9468999046196607,0.23239933076050845,0.140029513883128,0.1725191494733281
5,-0.9414200207726988,0.9353711136249656,0.2588883329408495,0.1530987117095876,0.18606046150637137
6,-0.9202645146879191,0.9223922463717762,0.2863858274406881,0.16605011275949944,0.19900518015091587
7,-0.8991090086031394,0.9079010081821479,0.31484378999985324,0.17878737709707418,0.2112444579891183
8,-0.8779535025183596,0.891841901932105,0.34420400777721705,0.19120735693497512,0.22266874419677363
9,-0.8567979964335799,0.8741672386108637,0.3743976414891066,0.20320042802440397,0.23316867507783004
10,-0.8356424903488001,0.854838147921104,0.4053448720976863,0.2146509355396391,0.24263604718772655
11,-0.8144869842640203,0.8338255757133112,0.43695464463606065,0.22543775904513857,0.25096486729031436
12,-0.7933314781792407,0.8111112538916285,0.4691245215058102,0.23543499966095474,0.25805247153813715
13,-0.7721759720944609,0.7866886274259612,0.5017406570731953,0.2445127908587962,0.2638007043676307
14,-0.7510204660096811,0.7605637222926949,0.534677904605208,0.2525382324395804,0.26811714569485684
15,-0.7298649599249014,0.7327559375813744,0.5678000655136045,0.25937644518288766,0.27091637312328615
16,-0.7087094538401216,0.7032987446824842,0.6009602895073476,0.2648917414450592,0.27212124407603844
17,-0.6875539477553418,0.6722402764449396,0.6340016325912665,0.2689489046479294,0.2716641810867211
18,-0.6663984416705622,0.6396437894900219,0.666757777898236,0.27141456818284776,0.2694884419732495
19,-0.6452429355857824,0.6055879835153294,0.6990539221183748,0.2721586817991249,0.2655493553261186
20,-0.6240874295010026,0.5701671624356867,0.7307078278146247,0.27105605110207726,0.2598155007142921
21,-0.6029319234162229,0.5334912235984889,0.7615310392206067,0.26798793340765714,0.2522698122940258
22,-0.5817764173314431,0.4956854630809804,0.7913302562433505,0.2628436709458783,0.24291058414100022
23,-0.5606209112466634,0.45689018721978,0.8199088583876433,0.25552234033373006,0.23175235565171587
24,-0.5394654051618837,0.417260123022064,0.8470685672351458,0.2459343954105082,0.218826655807461
25,-0.5183098990771039,0.3769636229366614,0.8726112330112946,0.23400327900418624,0.20418258598681613
26,-0.4971543929923241,0.3361816625850143,0.8963407277230584,0.21966697803361865,0.18788722236504393
27,-0.4759988869075443,0.29510663341954857,0.9180649244215602,0.20287949560068272,0.17002582075504763
