,Angles,Times,RSSI,POS
0,-0.3249923434748061,1764581560.8172562,"(0.8918170928955078, 22.717884063720703, 0.5521776676177979, 0.004158754367381334)",-21.0
1,-0.3249923434748061,1764581561.0186672,"(0.23627984523773193, 22.44575309753418, 1.3650050163269043, 0.12024644017219543)",-11.8
2,-0.3249923434748061,1764581561.2430508,"(0.09164877235889435, 23.573272705078125, 0.6242974400520325, 0.6253050565719604)",-7.4
3,-0.3249923434748061,1764581561.4526691,"(0.04188370704650879, 17.68102264404297, 0.5754442811012268, 0.6553134322166443)",-7.2
4,-0.3249923434748061,1764581561.675524,"(0.14895585179328918, 24.697704315185547, 0.8096277117729187, 0.5617772340774536)",-9.2
5,-0.3249923434748061,1764581561.8914557,"(0.6206695437431335, 29.93299102783203, 0.8448059558868408, 0.38305121660232544)",-12.0
6,-0.3249923434748061,1764581562.1050313,"(0.4264710247516632, 19.26490592956543, 0.8335913419723511, 0.08324600756168365)",-14.8
7,-0.3249923434748061,1764581562.3255746,"(0.2167695015668869, 18.84208869934082, 0.14537742733955383, 0.19708693027496338)",-17.6
8,-0.3249923434748061,1764581562.5417757,"(0.2475302368402481, 14.24894905090332, 0.8902192115783691, 0.04025118052959442)",-20.9
9,-0.252771822702627,1764581562.7618406,"(0.2952764630317688, 10.626921653747559, 1.1543371677398682, 0.005693551152944565)",-23.8
10,-1.0471975511965976,1764581563.0419757,"(3.6149349212646484, 0.1040199026465416, 0.06365291774272919, 0.04391889274120331)",-27.0
11,-0.252771822702627,1764581563.213024,"(1.3540332317352295, 6.382595062255859, 0.28923046588897705, 0.22857658565044403)",-32.9
12,0.10833078115826877,1764581563.4170883,"(1.324412226676941, 4.842114448547363, 9.216010093688965, 0.5990782976150513)",-37.6
13,0.18055130193044788,1764581563.6308322,"(1.4406137466430664, 3.5050668716430664, 12.986401557922363, 0.461148738861084)",-39.0
14,0.18055130193044788,1764581563.8469567,"(1.3584976196289062, 3.1209022998809814, 11.963475227355957, 0.6002068519592285)",-38.7
15,0.252771822702627,1764581564.0616994,"(1.3329166173934937, 2.2822508811950684, 11.897716522216797, 0.7339760065078735)",-38.2
16,0.252771822702627,1764581564.2778718,"(1.1842195987701416, 1.7713212966918945, 11.445256233215332, 0.778080940246582)",-36.6
17,0.252771822702627,1764581564.497687,"(1.4298685789108276, 2.556941032409668, 12.803462028503418, 0.8269945383071899)",-34.5
18,0.18055130193044788,1764581564.7120461,"(1.5435998439788818, 4.330676555633545, 12.074138641357422, 0.8520290851593018)",-32.1
19,0.10833078115826877,1764581564.9308228,"(1.761080265045166, 4.583301067352295, 9.61221694946289, 1.2638616561889648)",-30.0
