,Times,RSSI,POS
0,1764578713.4456513,"(3.322740077972412, 3.178363800048828, 6.8925580978393555, 32.12492752075195)",-0.4
1,1764578713.4456513,"(2.601694107055664, 2.5479204654693604, 0.394045352935791, 41.34281921386719)",-0.6
2,1764578713.4456513,"(2.9455981254577637, 2.712735176086426, 0.4242883324623108, 39.50785446166992)",-0.6
3,1764578713.4456513,"(72.40447998046875, 73.86976623535156, 69.09629821777344, 0.015002775005996227)",51.9
4,1764578713.4456513,"(0.2794080078601837, 0.2824821472167969, 1.4982408285140991, 5.837904930114746)",52.1
5,1764578713.4456513,"(0.36226212978363037, 0.35759925842285156, 5.809909820556641, 11.137208938598633)",52.1
6,1764578713.4456513,"(4.584190368652344, 8.142034530639648, 3.4102630615234375, 9.431748390197754)",103.1
7,1764578713.4456513,"(39.676753997802734, 13.887027740478516, 2.878406047821045, 6.78913688659668)",103.2
8,1764578713.4456513,"(41.34495544433594, 13.902766227722168, 2.709796667098999, 6.781926155090332)",103.2
9,1764578713.4456513,"(6.4995622634887695, 1.6968330144882202, 2.0148823261260986, 1.4114885330200195)",154.6
10,1764578713.4456513,"(5.933974266052246, 1.757319450378418, 1.9988362789154053, 1.625545620918274)",154.9
11,1764578713.4456513,"(6.023307800292969, 1.7687056064605713, 1.710213303565979, 1.0901644229888916)",155.0
12,1764578713.4456513,"(3.3478331565856934, 0.05184825137257576, 0.7909567952156067, 0.253695547580719)",206.0
13,1764578713.4456513,"(3.523685932159424, 0.1066669449210167, 0.6216300129890442, 0.04776671528816223)",206.0
14,1764578713.4456513,"(3.312516450881958, 0.14831306040287018, 0.5265007615089417, 0.10299785435199738)",206.0
15,1764578713.4456513,"(4.011284828186035, 0.17859330773353577, 2.896761178970337, 0.7364516258239746)",257.5
16,1764578713.4456513,"(4.215553283691406, 0.23789295554161072, 3.1661136150360107, 0.5746579170227051)",257.5
17,1764578713.4456513,"(4.505965232849121, 0.21382564306259155, 3.5577754974365234, 0.6299535632133484)",257.5
18,1764578713.4456513,"(4.708253860473633, 4.993886947631836, 0.2716468572616577, 7.562177658081055)",308.7
19,1764578713.4456513,"(4.984152793884277, 4.881862640380859, 0.3295413553714752, 7.893061637878418)",309.2
20,1764578713.4456513,"(4.8927412033081055, 5.047625541687012, 0.34346264600753784, 7.898313522338867)",309.2
21,1764578713.4456513,"(3.66987943649292, 2.491053342819214, 0.4767075181007385, 39.69257736206055)",360.4
22,1764578713.4456513,"(4.136808395385742, 2.4649741649627686, 0.5849625468254089, 42.19971466064453)",360.3
23,1764578713.4456513,"(4.060263633728027, 2.465695381164551, 0.5885401964187622, 44.172821044921875)",360.3
