,Angles,Times,RSSI,POS
0,0.8305359888800603,1764579565.8494227,"(4.478106498718262, 1.5206174850463867, 18.25650978088379, 36.581336975097656)",355.3
1,0.6860949473357019,1764579566.2422035,"(1.3930083513259888, 1.2325365543365479, 8.589776992797852, 9.361346244812012)",235.5
2,-0.6860949473357019,1764579566.4278471,"(0.42400217056274414, 0.47731515765190125, 0.2606631815433502, 0.460659384727478)",180.0
3,-0.252771822702627,1764579566.641764,"(1.368049144744873, 4.996176719665527, 0.24485242366790771, 0.5987246036529541)",119.9
4,-0.252771822702627,1764579566.8142598,"(11.797526359558105, 44.791908264160156, 2.3604135513305664, 0.10068303346633911)",71.8
5,0.9027565096522394,1764579566.9865363,"(56.21487045288086, 1.524330496788025, 2.6703977584838867, 66.19036102294922)",24.9
6,0.6860949473357019,1764579567.1578019,"(0.37179169058799744, 0.03898041695356369, 42.44762420654297, 48.032081604003906)",6.6
7,1.0471975511965976,1764579567.334252,"(4.285663604736328, 0.6282937526702881, 0.14175406098365784, 32.878787994384766)",11.3
8,1.0471975511965976,1764579567.5523891,"(0.9905622005462646, 1.421488642692566, 0.10926363617181778, 37.3656005859375)",20.4
9,1.0471975511965976,1764579567.7749217,"(1.266750454902649, 4.8149824142456055, 3.701340913772583, 50.589012145996094)",30.7
10,0.8305359888800603,1764579567.9838932,"(2.54150390625, 7.8066511154174805, 19.77320098876953, 43.90556716918945)",40.6
11,0.5416539057913436,1764579568.2033517,"(1.4053544998168945, 5.900470733642578, 40.924598693847656, 26.585002899169922)",48.2
12,0.252771822702627,1764579568.4200459,"(0.49950259923934937, 2.0069265365600586, 68.22776794433594, 11.256258010864258)",55.0
13,0.3249923434748063,1764579568.6415408,"(1.099610447883606, 0.5388927459716797, 82.142822265625, 4.299341201782227)",58.6
14,0.3249923434748063,1764579568.8540711,"(2.8665108680725098, 0.5608875155448914, 83.01791381835938, 2.1965770721435547)",61.7
15,0.3249923434748063,1764579569.072918,"(5.401974678039551, 2.198167324066162, 81.29103088378906, 1.547790288925171)",64.8
16,0.252771822702627,1764579569.288922,"(8.387174606323242, 6.6475300788879395, 80.06800842285156, 1.460472822189331)",68.1
17,0.252771822702627,1764579569.5085015,"(10.040903091430664, 11.716617584228516, 74.95639038085938, 1.7553887367248535)",70.3
18,0.18055130193044788,1764579569.7196388,"(12.820310592651367, 17.84465980529785, 65.38956451416016, 1.89340341091156)",72.9
19,0.18055130193044788,1764579569.9398785,"(13.278549194335938, 24.955198287963867, 57.23179626464844, 2.051100969314575)",75.1
20,0.10833078115826877,1764579570.161723,"(15.331280708312988, 30.869752883911133, 53.1196403503418, 1.9746692180633545)",76.8
21,0.036110260386089665,1764579570.374876,"(15.826923370361328, 37.434547424316406, 45.3848991394043, 2.06980037689209)",78.1
22,-0.03611026038608944,1764579570.591008,"(15.289730072021484, 38.94025421142578, 40.53986358642578, 1.6604516506195068)",78.8
23,-0.03611026038608944,1764579570.8047106,"(15.29137897491455, 42.02836227416992, 37.303226470947266, 1.6092944145202637)",79.3
24,-0.03611026038608944,1764579571.031162,"(15.317707061767578, 43.42094802856445, 37.569801330566406, 1.5941376686096191)",79.5
25,-0.03611026038608944,1764579571.2417297,"(15.53702163696289, 41.302879333496094, 35.643638610839844, 1.6383569240570068)",79.0
26,-0.03611026038608944,1764579571.462879,"(14.903209686279297, 41.38432312011719, 37.08009338378906, 1.5336315631866455)",78.4
27,-0.03611026038608944,1764579571.681291,"(14.956612586975098, 39.77384948730469, 40.352210998535156, 1.3982210159301758)",78.1
28,-0.03611026038608944,1764579571.8984647,"(15.125699043273926, 41.64002227783203, 38.739501953125, 1.5487844944000244)",78.0
29,-0.03611026038608944,1764579572.1157153,"(15.449254035949707, 41.36698913574219, 38.633060455322266, 1.646768569946289)",77.4
30,-0.03611026038608944,1764579572.3271387,"(15.32088851928711, 42.064796447753906, 36.94511795043945, 1.4713796377182007)",76.8
31,-0.03611026038608944,1764579572.5438795,"(14.790163040161133, 41.65346145629883, 38.751487731933594, 1.483295202255249)",76.8
32,-0.03611026038608944,1764579572.7605436,"(15.143293380737305, 40.601505279541016, 36.77337646484375, 1.7259849309921265)",76.5
33,-0.03611026038608944,1764579572.9775796,"(14.784605026245117, 42.312095642089844, 38.27008819580078, 1.699995517730713)",75.9
34,-0.03611026038608944,1764579573.192669,"(14.036739349365234, 40.773983001708984, 38.15138244628906, 1.5822575092315674)",75.6
35,-0.03611026038608944,1764579573.4177089,"(14.176704406738281, 40.99153137207031, 36.751705169677734, 1.5308972597122192)",75.2
36,-0.03611026038608944,1764579573.6287289,"(14.586978912353516, 41.20465850830078, 38.368377685546875, 1.5811474323272705)",74.9
37,-0.03611026038608944,1764579573.8488073,"(14.489240646362305, 40.1352424621582, 36.29075622558594, 1.652980089187622)",74.5
38,-0.03611026038608944,1764579574.0694385,"(14.375211715698242, 39.8791618347168, 38.060943603515625, 1.7679939270019531)",74.2
39,-0.03611026038608944,1764579574.2799897,"(14.789344787597656, 39.60273361206055, 38.26235580444336, 1.8769950866699219)",73.9
40,-0.03611026038608944,1764579574.4962091,"(15.047080993652344, 41.11713409423828, 36.26825714111328, 1.8011006116867065)",73.5
41,-0.03611026038608944,1764579574.7138605,"(15.150444030761719, 40.33126449584961, 38.54835510253906, 1.7252700328826904)",73.3
42,-0.03611026038608944,1764579574.9319806,"(14.705674171447754, 41.53755569458008, 36.86213684082031, 1.582719087600708)",72.9
43,-0.03611026038608944,1764579575.1442478,"(14.904382705688477, 41.6474723815918, 38.97403335571289, 1.5853922367095947)",72.5
44,-0.03611026038608944,1764579575.3731256,"(14.419078826904297, 41.01700210571289, 38.0954475402832, 1.6220215559005737)",72.2
45,-0.03611026038608944,1764579575.5879335,"(14.812009811401367, 41.119598388671875, 39.51663589477539, 1.5599528551101685)",71.9
46,-0.03611026038608944,1764579575.7976453,"(15.663037300109863, 41.83007049560547, 38.85828399658203, 1.6488761901855469)",71.6
47,-0.03611026038608944,1764579576.0331626,"(14.627325057983398, 40.57745361328125, 37.49860763549805, 1.7562861442565918)",71.2
48,-0.6860949473357019,1764579576.2676804,"(40.84429168701172, 38.793251037597656, 29.477869033813477, 1.6000721454620361)",70.9
49,-0.6138744265635228,1764579576.5028744,"(37.48243713378906, 40.1656608581543, 1.586370825767517, 1.578554391860962)",67.8
50,-0.46943338501916443,1764579576.7325382,"(22.194042205810547, 55.755435943603516, 2.0443403720855713, 1.9611239433288574)",62.7
51,-1.0471975511965976,1764579576.9878025,"(76.56721496582031, 1.966379165649414, 1.987199306488037, 2.0244665145874023)",57.7
52,0.9027565096522394,1764579577.2249186,"(1.3609870672225952, 1.4520970582962036, 1.4500958919525146, 6.574526786804199)",50.0
53,-0.6860949473357019,1764579577.504865,"(2.8960628509521484, 2.89955997467041, 2.3962292671203613, 1.7807753086090088)",51.1
54,-0.758315468107881,1764579577.739492,"(2.4000730514526367, 1.3487231731414795, 1.2370808124542236, 0.3751906156539917)",50.0
55,0.5416539057913436,1764579577.9967816,"(2.41953182220459, 1.4519494771957397, 69.13331604003906, 49.62876892089844)",43.4
56,0.3249923434748063,1764579578.202057,"(0.527479350566864, 1.9310956001281738, 76.2076416015625, 4.05522346496582)",42.7
57,-0.252771822702627,1764579578.3898122,"(0.6110748052597046, 68.65394592285156, 9.804494857788086, 9.757043838500977)",44.8
58,0.252771822702627,1764579578.5734441,"(7.944694995880127, 2.3000106811523438, 66.17366027832031, 9.136466026306152)",45.9
59,1.0471975511965976,1764579578.8141744,"(6.077207565307617, 5.85194730758667, 1.3709309101104736, 73.32568359375)",46.5
60,1.0471975511965976,1764579579.0349529,"(5.894744396209717, 0.4839708209037781, 1.3905208110809326, 75.31405639648438)",51.7
61,1.0471975511965976,1764579579.261011,"(2.1632142066955566, 1.1939729452133179, 0.5593245029449463, 62.26133346557617)",60.2
62,1.0471975511965976,1764579579.5199509,"(3.3336846828460693, 5.9226789474487305, 2.4853785037994385, 83.76530456542969)",71.6
63,0.10833078115826877,1764579579.8280098,"(14.597328186035156, 29.040435791015625, 60.86830139160156, 2.136396884918213)",82.6
